"startyear","count"
1874,1
1877,1
1878,2
1881,1
1883,1
1885,1
1887,45
1888,5
1889,2
1890,6
1891,10
1892,9
1893,3
1894,99
1895,116
1896,849
1897,1362
1898,1796
1899,1817
1900,1860
1901,1767
1902,1808
1903,2676
1904,1836
1905,1705
1906,1861
1907,2487
1908,4285
1909,5434
1910,6411
1911,7706
1912,8722
1913,9778
1914,9337
1915,8572
1916,7044
1917,5619
1918,4737
1919,4144
1920,4502
1921,4226
1922,3601
1923,3040
1924,3094
1925,3387
1926,3402
1927,3513
1928,3491
1929,3651
1930,3186
1931,3291
1932,3079
1933,2919
1934,2978
1935,2905
1936,3362
1937,3585
1938,3398
1939,3030
1940,2628
1941,2502
1942,2419
1943,2207
1944,2046
1945,2056
1946,2557
1947,2970
1948,3650
1949,4963
1950,7315
1951,8790
1952,9369
1953,9738
1954,11697
1955,12848
1956,12769
1957,14206
1958,15112
1959,15564
1960,16567
1961,17078
1962,16542
1963,18800
1964,19958
1965,23131
1966,24810
1967,26312
1968,25246
1969,28534
1970,28070
1971,29358
1972,29677
1973,30489
1974,29016
1975,29467
1976,29242
1977,28528
1978,29632
1979,29343
1980,30813
1981,29856
1982,33561
1983,33834
1984,35430
1985,37098
1986,37016
1987,39456
1988,39195
1989,42144
1990,45337
1991,47435
1992,48875
1993,53291
1994,57984
1995,65450
1996,68725
1997,73332
1998,82167
1999,87096
2000,89666
2001,98546
2002,102361
2003,114943
2004,132612
2005,146883
2006,163178
2007,180752
2008,195032
2009,206800
2010,233636
2011,266056
2012,296107
2013,317838
2014,338002
2015,354098
2016,372679
2017,392818
2018,394388
2019,373546
2020,334688
2021,138152
2022,3698
2023,291
2024,62
2025,12
2026,9
2027,6
2028,3
NULL,871999
